       NUEVO PEDIDO        
TICKET    CANTIDAD ARTICULO
A00723220        2 TORTA DIABLONA EMPACADA AL VACIO
A00723236        2 TORTA DE PIERNA EMPACADA AL VACIO
A00723253        1 TORTA DE ADOBADA EMPACADA AL VACIO
A00723253        2 TORTA DE ARRACHERA EMPACADA AL VACIO
A00723258        2 TORTA DE PIERNA EMPACADA AL VACIO
A00723258        1 TORTA DE ARRACHERA EMPACADA AL VACIO
A00723279        5 TORTA DIABLONA EMPACADA AL VACIO
A00723279        1 TORTA DE PIERNA EMPACADA AL VACIO
A00723279        1 TORTA DE ARRACHERA EMPACADA AL VACIO
A00723289        3 TORTA DE PIERNA EMPACADA AL VACIO
A00723292        2 TORTA DE PIERNA EMPACADA AL VACIO
A00723292        1 TORTA DE 3 QUESOS CORRALES EMPACADA AL VACIO
